Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
697,National Theatre Live: Antony & Cleopatra,998079,83672,914407,2018.csv,2018,8.4%,91.6%
698,Photograph,996171,344534,651637,2019.csv,2019,34.6%,65.4%
699,Labyrinth 2018 Re-release,993336,993336,0,2018.csv,2018,100%,-
700,Miles Davis: Birth of the Cool,984499,614201,370298,2019.csv,2019,62.4%,37.6%
701,Transit,982372,815290,167082,2018.csv,2018,83%,17%
702,Schindler's List 2018 Re-release,981489,833050,148439,2018.csv,2018,84.9%,15.1%
703,Journey's End,970809,161796,809013,2018.csv,2018,16.7%,83.3%
704,Ryuichi Sakamoto: Coda,960212,117460,842752,2018.csv,2018,12.2%,87.8%
705,Rush: Cinema Strangiato 2019,960073,960073,0,2019.csv,2019,100%,-
706,A Prayer Before Dawn,958883,14453,944430,2018.csv,2018,1.5%,98.5%
707,The Endless,956425,272020,684405,2018.csv,2018,28.4%,71.6%
708,The Fighting Preacher,954641,954641,0,2019.csv,2019,100%,-
709,The Catcher Was a Spy,953953,725223,228730,2018.csv,2018,76%,24%
710,Becoming Astrid,938766,120486,818280,2018.csv,2018,12.8%,87.2%
711,White Christmas 2018 Re-release,928298,928298,0,2018.csv,2018,100%,-
712,Like Arrows,928265,817990,110275,2018.csv,2018,88.1%,11.9%
713,Toni Morrison: The Pieces I Am,927495,903018,24477,2019.csv,2019,97.4%,2.6%
714,Kirk Cameron: Connect,918127,918127,0,2018.csv,2018,100%,-
715,The Lodgers,916727,7362,909365,2018.csv,2018,0.8%,99.2%
716,Revenge,913331,102091,811240,2018.csv,2018,11.2%,88.8%
717,Kings,910269,274635,635634,2018.csv,2018,30.2%,69.8%
718,The Hummingbird Project,899037,371784,527253,2019.csv,2019,41.4%,58.6%
719,The Game Changers,897992,739711,158281,2019.csv,2019,82.4%,17.6%
720,Between Me and My Mind,875191,875191,0,2019.csv,2019,100%,-
721,Howl's Moving Castle 2019 Re-release,865647,865647,0,2019.csv,2019,100%,-
722,The Metropolitan Opera HD Live: Nico Muhly: Marnie,865551,849710,15841,2018.csv,2018,98.2%,1.8%
723,The Nightingale,855756,400209,455547,2019.csv,2019,46.8%,53.2%
724,Steel Magnolias 2019 Re-release,855421,855421,0,2019.csv,2019,100%,-
725,Lizzie,844786,642157,202629,2018.csv,2018,76%,24%
726,BANDSTAND: The Broadway Musical on Screen,839554,839554,0,2018.csv,2018,100%,-
727,The Whistlers,833602,55608,777994,2019.csv,2019,6.7%,93.3%
728,Vita & Virginia,815419,42741,772678,2019.csv,2019,5.2%,94.8%
729,The Heiresses,811196,78473,732723,2018.csv,2018,9.7%,90.3%
730,Joni 75: A Birthday Celebration,808831,752205,56626,2019.csv,2019,93%,7%
731,Chonda Pierce: Unashamed,787979,787979,0,2019.csv,2019,100%,-
732,Mrs. Hyde,778142,18627,759515,2018.csv,2018,2.4%,97.6%
733,The Church,772000,772000,0,2019.csv,2019,100%,-
734,DanTDM Presents The Contest,765363,307484,457879,2019.csv,2019,40.2%,59.8%
